hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
48, 0.00000, 2506.75, -0.00432783, 2476.8, -120.003, 2506.76, 119.995, 315.298, -22.0017, 211.648, -128.221, 335.672, 102.027
48, 900.00000, 2506.77, -0.00401049, 2476.8, -120.003, 2491.76, 119.996, 288.032, -20.4319, 194.921, -126.252, 307.198, 103.905
48, 1800.00000, 2506.77, -0.00397179, 2476.81, -120.003, 2491.77, 119.996, 284.731, -20.2231, 192.96, -125.995, 303.662, 104.182
48, 2700.00000, 2506.76, -0.00407187, 2476.8, -120.003, 2491.76, 119.996, 293.268, -20.7507, 198.161, -126.672, 312.933, 103.474
49, 0.00000, 2506.76, -0.00410675, 2476.8, -120.003, 2491.76, 119.995, 296.263, -20.933, 199.916, -126.888, 316.219, 103.23
49, 900.00000, 2491.77, -0.00368983, 2476.81, -120.003, 2491.78, 119.996, 262.98, -18.8238, 179.204, -124.009, 278.809, 106.315
49, 1800.00000, 2491.74, -0.00425639, 2476.8, -120.003, 2491.75, 119.995, 311.573, -21.869, 208.457, -127.909, 331.399, 102.175
49, 2700.00000, 2491.75, -0.00417816, 2476.8, -120.003, 2491.76, 119.995, 304.793, -21.4973, 204.342, -127.429, 324.028, 102.672
50, 0.00000, 2491.75, -0.00405995, 2476.8, -120.003, 2491.76, 119.996, 294.578, -20.9049, 198.231, -126.684, 312.906, 103.471
50, 900.00000, 2491.76, -0.00386339, 2476.81, -120.003, 2491.77, 119.996, 277.728, -19.8491, 188.048, -125.322, 294.678, 104.907
50, 1800.00000, 2491.74, -0.00434743, 2476.8, -120.003, 2491.75, 119.995, 319.514, -22.293, 213.138, -128.424, 340.11, 101.61
50, 2700.00000, 2491.74, -0.00434103, 2476.8, -120.003, 2491.75, 119.995, 318.946, -22.2609, 212.86, -128.397, 339.476, 101.652
51, 0.00000, 2491.75, -0.00418542, 2476.8, -120.003, 2491.76, 119.995, 305.422, -21.5326, 204.719, -127.474, 324.719, 102.625
51, 900.00000, 2491.75, -0.00402704, 2476.8, -120.003, 2491.76, 119.996, 291.759, -20.74, 196.439, -126.45, 309.88, 103.693
51, 1800.00000, 2491.74, -0.00431608, 2476.8, -120.003, 2491.75, 119.995, 316.769, -22.1468, 211.558, -128.255, 337.071, 101.805
51, 2700.00000, 2491.73, -0.00453972, 2476.79, -120.003, 2491.74, 119.995, 336.333, -23.1207, 223.372, -129.491, 358.496, 100.518
52, 0.00000, 2491.76, -0.00390461, 2476.81, -120.003, 2491.77, 119.996, 281.251, -20.0798, 190.164, -125.617, 298.479, 104.592
52, 900.00000, 2491.76, -0.00400169, 2476.8, -120.003, 2491.76, 119.996, 289.583, -20.6084, 195.104, -126.275, 307.512, 103.873
52, 1800.00000, 2491.75, -0.00417822, 2476.8, -120.003, 2491.76, 119.995, 304.807, -21.5007, 204.29, -127.42, 324.047, 102.668
52, 2700.00000, 2491.75, -0.00412288, 2476.8, -120.003, 2491.76, 119.995, 300.007, -21.2233, 201.496, -127.089, 318.804, 103.041
53, 0.00000, 2491.76, -0.00390123, 2476.81, -120.003, 2491.77, 119.996, 280.98, -20.0686, 189.871, -125.569, 298.237, 104.605
53, 900.00000, 2491.77, -0.00357981, 2476.81, -120.003, 2491.78, 119.996, 253.695, -18.1202, 173.633, -123.109, 268.859, 107.289
53, 1800.00000, 2491.76, -0.00393577, 2476.81, -120.003, 2491.77, 119.996, 283.948, -20.2634, 191.565, -125.796, 301.441, 104.341
53, 2700.00000, 2521.69, -0.00603149, 2476.76, -120.004, 2521.69, 119.993, 463.759, -27.6694, 302.739, -135.233, 500.268, 94.8588
54, 0.00000, 2581.57, -0.00911611, 2506.71, -120.006, 2581.56, 119.99, 736.738, -33.2814, 467.629, -141.037, 796.005, 89.0311
54, 900.00000, 2581.62, -0.00420877, 2476.76, -119.998, 2566.64, 119.999, 681.005, -33.2363, 183.27, -166.069, 524.093, 77.5223
54, 1800.00000, 2536.69, -0.00230934, 2461.79, -119.996, 2521.71, 120.001, 504.392, -29.8239, 82.2297, 169.666, 331.345, 74.7722
54, 2700.00000, 2491.75, -0.000499174, 2431.8, -119.995, 2476.77, 120.003, 338.948, -24.4631, 71.7582, 83.3483, 145.162, 63.1294
55, 0.00000, 2491.77, -4.91786E-006, 2431.81, -119.995, 2461.78, 120.004, 295.043, -22.1747, 92.3961, 69.9635, 101.002, 52.9301
55, 900.00000, 2431.79, 0.0117877, 2311.73, -119.971, 2356.73, 120.025, 259.181, -22.603, 1001.36, 70.5288, 740.021, -42.395
55, 1800.00000, 2431.74, 0.0104906, 2311.71, -119.973, 2356.69, 120.024, 372.422, -26.6007, 920.494, 73.4786, 658.542, -35.5443
55, 2700.00000, 2476.7, 0.00887517, 2341.69, -119.974, 2401.66, 120.022, 540.588, -29.643, 817.898, 79.2982, 578.904, -22.1698
56, 0.00000, 2476.69, 0.00846644, 2341.68, -119.974, 2401.65, 120.022, 573.158, -29.6144, 791.46, 81.3605, 567.215, -19.2233
56, 900.00000, 2461.74, 0.0143851, 2311.62, -119.963, 2371.63, 120.032, 499.084, -28.0285, 1270.87, 80.5353, 890.146, -29.6292
56, 1800.00000, 2461.71, 0.0136057, 2311.6, -119.964, 2371.61, 120.031, 561.892, -28.2002, 1219.14, 82.8445, 855.002, -25.978
56, 2700.00000, 2461.71, 0.0132236, 2326.59, -119.964, 2371.6, 120.03, 590.439, -27.955, 1202.56, 84.2393, 840.174, -24.1933
57, 0.00000, 2461.69, 0.0127921, 2326.59, -119.965, 2386.59, 120.03, 630.62, -28.7568, 1177.15, 85.3395, 827.601, -21.6818
57, 900.00000, 2491.65, 0.0141823, 2341.5, -119.96, 2401.52, 120.033, 787.432, -30.2037, 1350.25, 90.8555, 918.953, -14.4821
57, 1800.00000, 2551.53, 0.0118672, 2386.47, -119.962, 2461.44, 120.031, 1068.49, -33.8965, 1244.21, 98.4964, 901.904, 2.83067
57, 2700.00000, 2566.52, 0.0115062, 2386.44, -119.962, 2476.43, 120.031, 1107.61, -33.807, 1231.32, 100.721, 911.188, 5.0566
58, 0.00000, 2551.61, 0.0131502, 2386.48, -119.96, 2461.5, 120.033, 930.02, -31.4583, 1304.46, 95.2564, 912.586, -6.23569
58, 900.00000, 2551.56, 0.0140036, 2386.45, -119.958, 2461.45, 120.035, 1021.47, -33.3258, 1408.49, 96.2961, 968.311, -2.80613
58, 1800.00000, 2536.63, 0.0149789, 2371.45, -119.957, 2431.49, 120.035, 900.959, -31.1305, 1454.74, 94.1424, 975.488, -9.63196
58, 2700.00000, 2536.6, 0.0146418, 2371.45, -119.957, 2431.47, 120.035, 938.142, -31.9422, 1437.93, 94.7417, 965.933, -7.42868
59, 0.00000, 2536.61, 0.0147354, 2371.46, -119.957, 2431.47, 120.035, 931.868, -32.0418, 1440.81, 94.3314, 967.414, -7.81039
59, 900.00000, 2536.59, 0.0148931, 2371.45, -119.957, 2431.47, 120.035, 949.987, -32.6838, 1456.95, 94.2355, 975.26, -7.08336
59, 1800.00000, 2506.67, 0.0162557, 2341.47, -119.956, 2416.52, 120.037, 786.563, -30.3302, 1519.57, 90.7305, 1019.21, -16.1616
59, 2700.00000, 2506.67, 0.0162557, 2341.47, -119.956, 2416.52, 120.037, 781.233, -29.8018, 1520.93, 91.039, 1021.8, -16.4609
60, 0.00000, 2491.69, 0.0167049, 2341.48, -119.955, 2401.53, 120.037, 728.727, -29.4054, 1551.39, 89.5207, 1035.22, -19.1041
60, 900.00000, 2476.7, 0.0164313, 2326.5, -119.957, 2386.55, 120.036, 664.265, -28.3059, 1506.15, 87.9618, 1018.7, -21.9994
60, 1800.00000, 2476.68, 0.0160904, 2326.5, -119.957, 2386.54, 120.036, 701.313, -29.4887, 1487.32, 88.3545, 999.565, -20.054
60, 2700.00000, 2491.64, 0.0154909, 2326.5, -119.958, 2386.51, 120.035, 791.373, -32.3635, 1446.28, 88.8893, 960.708, -15.2826
61, 0.00000, 2491.7, 0.0166206, 2326.52, -119.957, 2386.55, 120.036, 678.655, -30.2771, 1509.28, 86.8653, 1009.53, -21.3675
61, 900.00000, 2491.69, 0.015222, 2326.54, -119.96, 2386.55, 120.034, 684.405, -30.4265, 1386.8, 86.4532, 938.86, -20.3238
61, 1800.00000, 2491.67, 0.0147073, 2326.53, -119.96, 2386.54, 120.033, 728.319, -30.6864, 1357.52, 87.8965, 920.048, -17.7288
61, 2700.00000, 2506.62, 0.0140491, 2326.53, -119.961, 2401.52, 120.033, 820.086, -33.1184, 1315.04, 88.84, 894.514, -12.4873
62, 0.00000, 2506.68, 0.014986, 2326.54, -119.96, 2401.55, 120.034, 720.077, -30.9187, 1365.23, 87.2687, 931.077, -18.3556
62, 900.00000, 2506.69, 0.0133843, 2326.57, -119.964, 2401.57, 120.031, 688.137, -29.932, 1215.88, 86.6334, 849.757, -18.7534
62, 1800.00000, 2506.67, 0.0130824, 2326.57, -119.964, 2401.56, 120.031, 722.246, -31.0109, 1200.02, 87.0044, 835.523, -16.5198
62, 2700.00000, 2506.66, 0.0131486, 2326.57, -119.964, 2401.56, 120.031, 720.616, -31.3957, 1205.16, 86.4908, 835.481, -16.7106
63, 0.00000, 2476.71, 0.0141383, 2326.59, -119.963, 2386.6, 120.032, 595.437, -28.5494, 1275.52, 84.0524, 886.687, -24.514
63, 900.00000, 2476.72, 0.012446, 2326.63, -119.967, 2386.62, 120.029, 562.009, -28.4642, 1116.75, 82.1145, 788.211, -25.3351
63, 1800.00000, 2476.7, 0.0122176, 2326.63, -119.967, 2386.61, 120.028, 592.597, -30.1722, 1107.6, 81.9393, 770.887, -23.2562
63, 2700.00000, 2491.64, 0.0115079, 2326.63, -119.967, 2401.59, 120.027, 690.201, -33.4947, 1067.9, 82.6299, 734.328, -16.6113
64, 0.00000, 2491.68, 0.0119749, 2326.63, -119.967, 2401.61, 120.028, 635.631, -31.8057, 1090.68, 82.1423, 755.871, -20.3847
64, 900.00000, 2521.62, 0.00642897, 2371.67, -119.977, 2446.61, 120.019, 744.73, -32.9512, 674.987, 87.9798, 518.708, 0.568241
64, 1800.00000, 2521.68, 0.00752367, 2371.69, -119.976, 2446.65, 120.021, 636.846, -30.9572, 727.943, 83.4853, 529.969, -11.3893
64, 2700.00000, 2521.68, 0.00758641, 2371.69, -119.975, 2446.65, 120.021, 630.405, -30.788, 730.897, 83.3004, 531.513, -12.1012
65, 0.00000, 2521.68, 0.00772319, 2371.7, -119.975, 2446.66, 120.021, 622.347, -31.1364, 740.132, 82.1942, 532.444, -12.7714
65, 900.00000, 2551.61, -0.00639734, 2491.71, -120.002, 2551.63, 119.995, 677.371, -31.0409, 362.234, -150.428, 594.987, 85.6926
65, 1800.00000, 2641.46, -0.00994178, 2536.65, -120.005, 2626.47, 119.991, 1001.84, -35.8557, 559.298, -151.033, 943.035, 83.1334
65, 2700.00000, 2626.54, -0.00832065, 2536.7, -120.004, 2611.55, 119.993, 849.125, -34.1109, 449.693, -150.065, 789.464, 83.9974
66, 0.00000, 2596.6, -0.00699691, 2521.73, -120.003, 2581.6, 119.994, 731.324, -32.5268, 369.275, -149.442, 666.908, 84.812
66, 900.00000, 2596.59, -0.00910945, 2521.7, -120.007, 2581.58, 119.99, 720.044, -32.1232, 494.789, -142.413, 775.121, 89.6664
66, 1800.00000, 2596.59, -0.00915426, 2521.71, -120.007, 2581.57, 119.99, 728.77, -32.6336, 484.072, -141.806, 787.573, 89.3215
66, 2700.00000, 2581.64, -0.0079085, 2521.75, -120.006, 2581.63, 119.991, 620.032, -31.0958, 403.994, -139.163, 676.283, 90.9886
67, 0.00000, 2566.66, -0.00734289, 2506.75, -120.005, 2566.65, 119.992, 572.626, -30.2466, 371.218, -138.034, 623.425, 91.9398
67, 900.00000, 2566.65, -0.00741299, 2506.75, -120.005, 2566.64, 119.992, 579.255, -30.4013, 374.795, -138.16, 631.059, 91.7732
67, 1800.00000, 2566.64, -0.00761057, 2506.74, -120.005, 2566.63, 119.991, 597.705, -30.7865, 385.879, -138.573, 651.894, 91.3524
67, 2700.00000, 2566.63, -0.00782428, 2506.74, -120.006, 2566.62, 119.991, 617.816, -31.1925, 397.851, -138.995, 674.644, 90.916
68, 0.00000, 2566.63, -0.00788232, 2506.74, -120.006, 2566.62, 119.991, 623.31, -31.3014, 401.083, -139.105, 680.695, 90.8023
68, 900.00000, 2596.54, -0.00978276, 2521.7, -120.007, 2596.54, 119.989, 795.421, -34.0913, 505.098, -141.904, 855.959, 88.2982
68, 1800.00000, 2566.67, -0.00701766, 2506.76, -120.005, 2566.67, 119.992, 542.633, -29.5823, 352.887, -137.284, 589.688, 92.6845
68, 2700.00000, 2566.6, -0.00834926, 2506.73, -120.006, 2566.59, 119.991, 667.614, -32.1158, 427.239, -139.96, 724.93, 90.051
69, 0.00000, 2566.6, -0.00832869, 2506.73, -120.006, 2566.59, 119.991, 665.681, -32.0845, 425.932, -139.917, 723.007, 90.081
69, 900.00000, 2551.67, -0.00680432, 2506.76, -120.005, 2566.68, 119.992, 527.1, -29.2608, 342.134, -136.821, 569.52, 93.166
69, 1800.00000, 2551.65, -0.00713944, 2506.75, -120.005, 2566.66, 119.992, 558.132, -29.9823, 360.663, -137.61, 604.218, 92.351
69, 2700.00000, 2551.67, -0.00685898, 2506.76, -120.005, 2566.67, 119.992, 532.146, -29.3828, 345.102, -136.952, 575.18, 93.0269
70, 0.00000, 2551.68, -0.00654585, 2506.77, -120.005, 2551.68, 119.993, 503.405, -28.6725, 327.591, -136.183, 545.393, 93.7002
70, 900.00000, 2536.69, -0.00618525, 2491.77, -120.004, 2551.7, 119.993, 474.254, -27.9349, 309.498, -135.386, 510.167, 94.7101
70, 1800.00000, 2536.71, -0.00574458, 2491.78, -120.004, 2536.71, 119.994, 434.446, -26.7513, 285.198, -134.03, 467.91, 95.9785
70, 2700.00000, 2521.72, -0.00530183, 2491.79, -120.004, 2521.72, 119.994, 398.12, -25.5774, 261.867, -132.504, 427.34, 97.4024
71, 0.00000, 2521.75, -0.00471921, 2476.79, -120.003, 2506.74, 119.995, 346.736, -23.4897, 231.197, -130.174, 371.953, 99.8935
71, 900.00000, 2506.75, -0.00439713, 2476.8, -120.003, 2506.76, 119.995, 321.308, -22.318, 215.289, -128.614, 342.295, 101.604
71, 1800.00000, 2506.76, -0.00412506, 2476.8, -120.003, 2506.77, 119.995, 297.827, -21.0235, 201.135, -127.002, 316.638, 103.338
71, 2700.00000, 2506.75, -0.0043278, 2476.8, -120.003, 2506.76, 119.995, 315.295, -22.0014, 211.65, -128.221, 335.645, 102.028
